id;publica;privada;cliente_id
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;76903
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;68792
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29440
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;82655
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;75493
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;49592
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10797
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;42697
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;61198
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;83448
